location,date,diet,Species,Sex,Age,15N,13C,tissue
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,F,A,9.5,-23.54,liver
a,12/16/2013,insects,Molossus_molossus,M,J,NA,NA,stomach
a,12/16/2013,fruits,Artibeus_lituratus,M,J,NA,NA,stomach
b,12/17/2013,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
b,12/17/2013,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
c,01/09/2014,insects,Molossus_molossus,F,J,NA,NA,stomach
d,3/14/2014,nectar,Glossophaga_soricina,F,J,NA,NA,stomach
d,3/14/2014,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
e,05/05/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
e,05/05/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
f,5/22/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,M,A,8.42,-25.1,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,9.44,-25.45,stomach
g,05/06/2014,fruits,Sturnira_lilium,F,A,NA,NA,stomach
g,05/06/2014,fruits,Sturnira_lilium,M,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
h,6/26/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
h,6/26/2014,fruits,Artibeus_lituratus,M,A,8.12,-26.18,stomach
h,6/26/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
h,6/26/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
i,8/21/2014,fruits,Platyrrhinus lineatus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Platyrrhinus lineatus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossops_temminckii,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_rufus,M,A,8.37,-23.4,stomach
i,8/21/2014,insects,Molossus_rufus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,5.53,-21.49,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_rufus,F,J,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,5.89,-24.63,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,4.82,-20.81,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,8.7,-29.2,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,6.98,-17.75,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,8.44,-29.14,stomach
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,8.38,-29.31,stomach
k,6/25/2015,nectar,Artibeus_planirostris,F,A,7.28,-29.34,stomach
k,6/25/2015,fruits,Molossus_molossus,F,A,5.69,-22.38,stomach
l,6/26/2015,insects,Glossophaga_soricina,M,A,9.02,-24.14,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,7.32,-26.3,stomach
